Source,Gen_comp
Bebecause i know i was here.,Bebecause i know i was here.
I was like.,I was like.
Where is it ?.,Where is it?.
Bebecause i was like.,Bebecause i was like.
And it was nothing.,And it was nothing.
And oh it hurt.,And oh it hurt.
Ohmy it hurting.,Ohmy it is hurting.
It was much better.,It was much better.
But it is like do this.,But it is like do this.
Go to the hospital.,Go to the hospital.
You sit down here.,You sit down here.
I was asleep sleep.,I was asleep in the sleep.
And i do this.,And i do this.
Then i go to my sister.,Then i go to my sister.
And it is at their house home wyoming.,And it is at their house home in wyoming.
She go with them.,She go with them.
I have firstnamea.,I have a firstnamea.
I have the same one firstnamea.,I have the same one firstnamea.
Just that is it.,Just that is it.
But the speech much better.,But the speech is much better.
It is much better thing.,It is much better than the other thing.
I go to the right over bathroom.,I go to the right over the bathroom.
I go bathroom.,I go to the bathroom.
There is a wall.,There is a wall.
I go this.,I go to this.
I go sleep.,I go to sleep.
And i come back go bathroom.,And i come back go to the bathroom.
And i go sleep again.,And i go to sleep again.
No it is just same.,No it is just the same.
But i could not talk.,But i could not talk.
And i was like.,And i was like.
I hate this.,I hate this.
I cannot talk or nothing.,I cannot talk or do nothing.
Yes this one.,Yes this one.
It is much better.,It is much better.
Bebecause it is it is sometimes it hurting.,Bebecause it is it is sometimes it is hurting.
I do my stuff.,I do my stuff.
A pen and stuff.,A pen and stuff.
I go to speech.,I go to the speech.
And this it was like friday go to speech.,And this it was like friday go to the speech.
Two times of this.,Two times of this.
I really like it bebecause it helps me much better.,I really like it bebecause it helps me much better.
I just keep going.,I just keep going.
That is right.,That is right.
Okay i think it was when my mom died.,Okay i think it was when my mom died.
Bebecause as firstnamea had this.,Bebecause as firstnamea had this.
This four that momma died.,This is the four that momma died.
Alright this four mɑn@you died.,Alright this is four mn@you died.
And mynette said same.,And mynette said the same.
They are the same.,They are the same.
Really right now christmas bebecause mom died.,Really right now at christmas bebecause mom died.
Not christmas but the other one.,Christmas is the other one.
It is i like it.,It is i like it.
Bebecause i know he is do it.,Bebecause i know he is going to do it.
He would help you do this too.,He would help you do this too.
Thank god i have do it.,Thank god i have to do it.
They doing it.,They are doing it.
They both doing it help me to much better.,They both are doing it help me to do much better.
It is still little bit but better.,It is still a little bit but better.
Can i do this enough ?.,Can i do this enough?.
This right here.,This right here.
Do that one.,Do that one.
And then the it go this way.,And then the it go this way.
It ohno it come this way.,It ohno it come this way.
And then the ball it go over here.,And then the ball goes over here.
Then the football it is like.,Then the football it is like.
The man is.,The man is.
Ohmygod what happened ?.,Ohmygod what happened.
Then this one.,Then this one.
He look up.,He look up.
He see it.,He sees it.
It is like.,It is like.
Oh i see it.,Oh i see it.
The mom it said it is going to rain.,The mom said it is going to rain.
And he said.,And he said.
No do not worry about it.,No do not worry about it.
It go this way he say.,It will go this way he said.
No do not worry about it.,No do not worry about it.
It could vɹeɪn@you.,It could ven@you.
It is nothing.,It is nothing.
Uhoh it rained.,Uhoh it rained.
Then he got really got bad and he come this way.,Then he got really really really really bad and he come this way.
Then the mom said.,Then the mom said.
I told you not !.,I told you not!
And he said.,And he said.
So tomorrow he gonna ring this thing rælo@you do with the stuff.,So tomorrow he's gonna ring this thing rlo@you do with the stuff.
Let us see.,Let us see.
A girl with a.,A girl with a hat.
And you hold.,And you hold.
He can help but he cannot.,He can help but he cannot.
And he is.,And he is.
Well hold on let us go back.,Well hold on let us go back.
This the girl is a traɪkəl@you.,This the girl is a trakl@you.
And he go.,And he goes.
Oh something over here !.,Oh something is over here!.
You got to go get it !.,You got to go get it!
And then the other one the dog it scared him up.,And then the other one the dog it scared him up.
He done like.,He did not like that.
Uhoh i cannot move !.,Uhoh i cannot move!.
I cannot get it.,I cannot get it.
Then it had this firemen.,Then it had this fireman.
Help me do the either this and both over this.,Help me do the either this and both over this.
And the singing with the bird.,And the singing with the bird.
Yep we do this from that too.,Yep we do this from that too.
I remember this too.,I remember this too.
There was what is his name is.,There was what is his name is.
I saw it.,I saw it.
And there is two girls and the other one.,And there is two girls and the other one.
Bebecause that is that is bad.,Bebecause that is what is bad.
And the other one good.,And the other one is good.
And first one.,And the first one.
You have all this stuff.,You have all this stuff.
You got to do my all the washing stuff everything.,You got to do my all the washing stuff everything.
And the earl girl she got to go do it.,And the earl girl she got to go do it.
The other one he gone play whatever.,The other one is gone to play whatever.
Okay get that one.,Okay get that one.
What was that ?.,What was that?
Who is that ?.,Who is that?.
And he is like.,And he is like.
Oh here come.,Oh here come.
So he wanted his the play.,So he wanted his to play the game.
He found this.,He found this.
So he hadta go find the.,So he hadta go find the.
Oh he said.,Oh he said.
The other one he said.,The other one he said.
And the grandma he [gcpro] said.,And the grandma he [gcpro] said.
And he said.,And he said.
Well let try that one.,Well let try that one.
He got it.,He got it.
He all done.,He is all done.
And a knife.,And a knife.
I cannot get it.,I cannot get it.
And what ?.,And what?.
I am walking.,I am walking.
And i did not hafta do it.,And i did not hafta do it.
And i did not hafta do it walking.,And i did not hafta do it walking.
No i did not hafta do it.,No i did not have to do it.
They are walk.,They are walking.
It is a walk of walking.,It is a walk of walking.
With a walk of walking.,With a walk of walking.
The of walking.,The sound of walking.
You do not hafta do it.,You do not hafta do it.
"Mhm yeah, yeah.","Yeah, yeah."
Walk and walking.,Walk and walking.
The walk of walking and.,The walk of walking and.
I think a year.,I think it's been a year.
No maybe no.,No maybe no.
Yeah no i yeah.,Yeah no i don't.
] jʊk@you ].,jk@you.
Fine and sometimes and sometimes not.,Fine and sometimes and sometimes not.
Washing dishes and five six days later.,Washing dishes and five six days later.
And speech and walking.,And speech and walking.
Boy's no ball.,Boy's got no ball.
And a kitten.,And a kitten.
And a dog.,And a dog.
Sɪsə˞z@you two of ththem.,Ssz@you have two of ththem.
And twelve clock.,And twelve clock.
"Girls, two of ththem.","Girls, two of them."
I do not know.,I do not know.
Oh yeah what.,Oh yeah what.
I do not.,I do not know.
Yeah it is good.,Yeah it is good.
I do not know.,I do not know.
I do not know.,I do not know.
I want this and move on.,I want to get this out of the way and move on.
Let us move on.,Let us move on.
Yes that is just too much.,Yes that is just too much.
And i want the a book.,And i want to read the book.
And myself is just a shirt.,And myself is just a shirt.
"No, i do not know.","No, i do not know."
Yes and myself is just too much.,Yes and myself is just too much.
Bint@you peanuts one.,Bint@you peanuts one.
Well better but no cigar.,Well better but no cigar.
Little bit better.,Little bit better.
But speech a little bit tough.,But the speech is a little bit tough.
Well one nine tree.,Well one nine tree.
And then maybe uphill.,And then maybe uphill.
It is you know tough.,It is you know tough.
Well it is friday at three of the clock in the afternoon.,Well it is friday at three of the clock in the afternoon.
The soil is dirty.,The soil is dirty.
So come back to the bus.,So come back to the bus.
The so the other one twenty stop a little bit further down.,So the other one twenty stop a little bit further down.
Let us see.,Let us see.
Exercise the arm.,Exercise the arm.
No well there is five kids.,No well there is five kids.
Nice all nice kids.,Nice all nice kids.
Yes or maybe no.,No or maybe no.
No two pills.,No two pills.
"The pills, oh they are awful.","The pills, oh they are awful."
Thank god at seventhstreet force danvers.,Thank god at seventhstreet force danvers.
Ah yeah you kid a bit.,Ah yeah you kid a bit.
"Five kids, wow.","Five kids, wow."
No it is serious.,No it is serious.
Now it is all through college.,Now it is all through college.
"All through, all through.","All through, all through."
Bobby in college.,Bobby in college.
His senior year.,His senior year.
Bobby maybe just maybe ace it.,Bobby maybe just maybe ace it.
Maybe up the ladder.,Maybe up the ladder.
The northpole the southpole studying water.,The northpole the southpole studying water.
"Oh okay, oh, oh.","Oh okay, oh, oh."
The boy is kicking the ball.,The boy is kicking the ball.
And the then kicking.,And then the then kicking.
Kicking the ball.,Kicking the ball.
The ball is broken.,The ball is broken.
The man inside.,The man is inside.
The kicking the ball.,The kicking the ball.
Maybe and the ball and maybe who or when or where.,Maybe and the ball and maybe who or when or where.
Maybe the boy.,Maybe the boy.
The girl and the youmbrella.,The girl and the umbrella.
And the boy who maybe a touching touch.,And the boy who maybe a touching touch.
The boy and the backpack.,The boy is carrying a backpack.
Maybe the girl and the umbrella.,Maybe the girl and the umbrella.
Maybe the boy is walking.,Maybe the boy is walking.
And then the boy pouring.,And then the boy pouring.
The boy is raining.,The boy is in the rain.
The boy all over the raining.,The boy is all over the place in the raining.
